repository,Input_Validation_Representation,API_Abuse,Security_Features,Time_State,Errors,Code_Quality,Encapsulation,Environment
Andersbakken/rtags,0,0,0,0,0,0,0,0
Bertram25/ValyriaTear,0,0,0,0,0,0,0,0
ChaiScript/ChaiScript,0,0,0,0,0,0,0,0
DGtal-team/DGtal,0,0,0,0,0,0,0,0
FreeCAD/FreeCAD_sf_master,0,0,0,0,0,0,0,0
GollyGang/ready,0,0,0,0,0,0,0,0
H-uru/Plasma,0,0,0,0,0,0,0,0
InsightSoftwareConsortium/ITK,0,0,0,0,0,0,0,0
Itseez/opencv,27,25,0,8,0,4007,0,0
KDAB/GammaRay,0,4,0,0,0,48,0,0
Kazade/kazmath,0,1,0,0,0,97,0,0
KhronosGroup/OpenCOLLADA,17,14,0,2,0,2132,0,0
KiCAD/kicad-source-mirror,0,0,0,0,0,7,0,0
Kitware/CMake,437,374,1,49,0,13481,0,0
KitwareMedical/TubeTK,0,0,0,0,0,0,0,0
LaurentGomila/SFML,0,3,0,0,0,35,0,0
LiberatorUSA/GUCEF,2,7,0,5,0,89,0,1
ManaPlus/ManaPlus,0,0,0,0,0,0,0,0
MyGUI/mygui,0,0,0,0,0,0,0,0
RainerKuemmerle/g2o,0,0,0,0,0,0,0,0
SINTEF-Geometry/GoTools,163,3,0,0,0,6711,0,0
SimTk/openmm,0,0,0,0,0,658,0,0
Slicer/SlicerExecutionModel,0,0,0,0,0,0,0,0
SupSuper/OpenXcom,0,0,0,0,0,2,0,0
SuperTux/supertux,7,6,0,0,0,172,0,0
TUM-I5/ASAGI,0,0,0,0,0,0,0,0
TigerVNC/tigervnc,130,187,0,0,0,1170,2,13
Vatsinator/Vatsinator,0,2,0,0,0,24,0,0
VcDevel/Vc,0,0,0,0,0,0,0,0
Zeex/samp-plugin-jit,0,7,0,2,0,28,0,0
Zeex/samp-plugin-profiler,56,37,0,2,0,84,0,0
alecthomas/entityx,0,0,0,0,0,0,0,0
alembic/alembic,0,0,0,0,0,0,0,0
arx/ArxLibertatis,0,0,0,0,0,0,0,0
biometrics/openbr,0,1,0,0,0,12,0,0
brezerk/q4wine,0,0,0,0,0,0,0,0
brndnmtthws/conky,0,0,0,0,0,0,0,0
bro/bro,2,5,0,0,0,85,0,0
bro/pysubnettree,0,0,0,0,0,0,0,0
casadi/casadi,2,8,2,1,0,506,0,0
chenshuo/muduo,0,0,0,0,0,0,0,0
christopho/solarus,0,1,0,0,0,12,0,0
cinemast/libjson-rpc-cpp,0,0,0,0,0,0,0,0
clintbellanger/flare-engine,0,0,0,0,0,1,0,0
cmangos/mangos-classic,24,20,0,0,0,2042,0,0
cmangos/mangos-wotlk,24,20,0,0,0,2080,0,0
colobot/colobot,0,0,0,0,0,0,0,0
commontk/CTK,30,3,0,0,0,6,0,0
